#code,long,cosphip,sinphip,gclat,gdlat,height,name
000,0.0,0.62411,0.77873,51.2897,51.4774,65.7933,Greenwich
001,0.1542,0.62992,0.77411,50.8636,51.0518,267.705,Crowborough
002,0.62,0.622,0.781,51.4657,51.653,3041.2,Rayleigh
003,3.9,0.725,0.687,43.4584,43.6505,2466.58,Montpellier
004,1.4625,0.7252,0.68627,43.4201,43.6123,177.123,Toulouse
005,2.231,0.659891,0.748875,48.6143,48.8051,157.558,Meudon
006,2.12417,0.751042,0.658129,41.2277,41.4185,372.468,"Fabra Observatory, Barcelona"
007,2.33675,0.65947,0.749223,48.6456,48.8364,60.161,Paris
008,3.0355,0.80172,0.59578,36.617,36.8015,321.627,Algiers-Bouzareah
009,7.4417,0.6838,0.7272,46.7618,46.9538,-107.409,Berne-Uecht
010,6.9267,0.72368,0.68811,43.5567,43.7489,1271.02,Caussols
011,8.797,0.6791,0.7315,47.1274,47.3193,-396.929,Wetzikon
012,4.35821,0.633333,0.771306,50.61,50.7986,105.181,Uccle
013,4.48397,0.614813,0.786029,51.9683,52.1549,1.76682,Leiden
014,5.39509,0.728859,0.682384,43.1138,43.3059,68.7686,Marseilles
015,5.12929,0.61577,0.785285,51.8987,52.0855,4.09463,Utrecht
016,5.9893,0.68006,0.73076,47.0581,47.25,288.85,Besancon
017,6.84924,0.641946,0.764282,49.972,50.1614,504.017,Hoher List
018,6.7612,0.62779,0.77578,51.0189,51.207,34.8647,Dusseldorf-Bilk
019,6.9575,0.68331,0.72779,46.8055,46.9974,511.243,Neuchatel
020,7.3004,0.72391,0.68767,43.5293,43.7215,390.845,Nice
021,8.3855,0.65701,0.75138,48.8334,49.024,124.055,Karlsruhe
022,7.7748,0.7079,0.70409,44.8454,45.0378,656.432,Pino Torinese
023,8.2625,0.64299,0.76335,49.8917,50.0812,211.617,Wiesbaden
024,8.7216,0.65211,0.7557,49.2084,49.3986,568.922,Heidelberg-Konigstuhl
025,9.1965,0.660205,0.748637,48.5917,48.7825,334.846,Stuttgart
026,7.46511,0.684884,0.726402,46.6851,46.8771,898.034,Berne-Zimmerwald
027,9.1912,0.70254,0.70929,45.2739,45.4663,144.359,Milan
028,9.9363,0.64686,0.76009,49.6012,49.791,185.63,Wurzburg
029,10.2406,0.5964,0.8,53.2955,53.4797,19.8501,Hamburg-Bergedorf
030,11.2545,0.723534,0.688012,43.5584,43.7506,166.114,"Arcetri Observatory, Florence"
031,11.1898,0.639061,0.766705,50.1882,50.3774,627.735,Sonneberg
032,11.5829,0.631624,0.772706,50.7368,50.9253,150.924,Jena
033,11.7112,0.6309,0.773333,50.7918,50.9801,347.704,"Karl Schwarzschild Observatory, Tautenburg"
034,12.4525,0.745176,0.664656,41.7312,41.9224,102.408,"Monte Mario Observatory, Rome"
035,12.5759,0.565008,0.822321,55.5075,55.6869,10.1642,Copenhagen
036,12.6504,0.747247,0.66242,41.5564,41.7475,431.871,Castel Gandolfo
037,13.7333,0.7366,0.67416,42.4658,42.6575,427.654,"Collurania Observatory, Teramo"
038,13.7704,0.70033,0.71144,45.4509,45.6433,64.1739,Trieste
039,13.1874,0.56485,0.82243,55.5185,55.6979,16.4276,Lund
040,13.7298,0.63019,0.77387,50.8428,51.0311,160.171,"Lohrmann Institute, Dresden"
041,11.3808,0.679862,0.731012,47.0763,47.2682,612.202,Innsbruck
042,13.0643,0.611721,0.788439,52.1934,52.3797,89.5917,Potsdam
043,11.5286,0.6977,0.71422,45.6704,45.8627,1061.26,"Asiago Astrophysical Observatory, Padua"
044,14.2559,0.75738,0.65082,40.6726,40.8629,145.73,"Capodimonte Observatory, Naples"
045,16.339,0.66739,0.74227,48.0406,48.2319,278.168,Vienna (since 1879)
046,14.2881,0.65922,0.74965,48.6726,48.8633,1061.64,"Klet Observatory, Ceske Budejovice"
047,16.8782,0.61146,0.78864,52.2123,52.3985,89.2065,Poznan
048,15.8408,0.641709,0.764432,49.9879,50.1773,270.499,Hradec Kralove
049,17.6067,0.5088,0.858,59.3318,59.5003,8.9545,Uppsala-Kvistaberg
050,18.0582,0.51118,0.8566,59.1732,59.3422,43.7393,Stockholm (before 1931)
051,18.4766,0.83055,-0.55508,-33.7559,-33.9339,11.5989,Cape
052,18.3083,0.51224,0.85597,59.1023,59.2716,39.3963,Stockholm-Saltsjobaden
053,18.9642,0.67688,0.73373,47.3079,47.4996,491.861,"Konkoly Observatory, Budapest (since 1934)"
054,11.6654,0.56595,0.82169,55.4424,55.6219,76.9818,Brorfelde
055,19.9596,0.64321,0.76316,49.875,50.0645,182.885,Cracow
056,20.245,0.65501,0.75346,48.9984,49.1888,1801.6,Skalnate Pleso
057,20.5133,0.71074,0.70116,44.6112,44.8036,286.534,Belgrade
058,20.495,0.57897,0.81262,54.5311,54.7128,25.3298,Kaliningrad
059,20.2201,0.655,0.75364,49.0056,49.196,2628.9,Lomnicky Stit
060,21.42,0.61572,0.78535,51.9033,52.09,135.224,Warsaw-Ostrowik
061,22.2985,0.662142,0.746904,48.4425,48.6335,182.535,Uzhgorod
062,22.2293,0.4944,0.86632,60.287,60.4524,-0.749415,Turku
063,22.445,0.49496,0.86601,60.2503,60.4158,41.8758,Turku-Tuorla
064,22.75,0.49489,0.86605,60.2549,60.4204,43.3385,Turku-Kevola
065,12.63,0.673,0.739,47.6762,47.8674,8686.04,Traunstein
066,23.7182,0.789321,0.611946,37.7858,37.9723,93.4498,Athens
067,24.0297,0.64632,0.76058,49.643,49.8328,350.598,Lvov University Observatory
068,24.0142,0.64627,0.76062,49.6467,49.8365,339.868,Lvov Polytechnic Institute
069,24.4042,0.54925,0.83287,56.5965,56.7731,73.1842,Baldone
070,25.2865,0.5794,0.81233,54.5014,54.6831,100.702,Vilnius (before 1939)
071,24.7378,0.74803,0.66185,41.5021,41.6931,1740.03,"NAO Rozhen, Smolyan"
072,7.17,0.629,0.774,50.9006,51.0889,-3965.26,Scheuren Observatory
073,26.0967,0.71549,0.6963,44.2212,44.4136,86.4889,Bucharest
074,26.4058,0.87518,-0.48263,-28.8751,-29.0381,1407.0,"Boyden Observatory, Bloemfontein"
075,26.7216,0.52557,0.84791,58.2076,58.3797,65.4184,Tartu
076,27.8768,0.90127,-0.43225,-25.6224,-25.7728,1232.9,Johannesburg-Hartbeespoort
077,28.0292,0.89819,-0.43876,-26.0352,-26.1873,1762.28,"Yale-Columbia Station, Johannesburg"
078,28.075,0.89824,-0.43868,-26.0298,-26.1819,1823.3,Johannesburg
